sha256,count,details (rel_path | location)
d092a829d0ff3ae4fb77c70c7dfe5ce80723bc56174f8d7810917bad1f52b38c,2,FixImports.swift | music; FixImports.swift | merged
8853895bfe0e09f18279a1bb8af71db022c2e65fd8a61e781df8327a81371298,2,BuildHelper.swift | music; BuildHelper.swift | merged
ccbd04c9676f4537d8d0c9ff353a3bd2bb355be9c55bc1dea6939990a1cbefef,2,App/RootView.swift | music; App/RootView.swift | merged
da4e1358321fc2dbf988bcbbccbac6ffc3173243372d0deebe20a34be3925fac,2,App/dontpullup.swift | music; App/dontpullup.swift | merged
3a1d83c9f1508fbace0dcce13a4c0db4bf11ee0c8f3294b70cebc7d08da4038c,2,App/Utilities/FontManager.swift | music; App/Utilities/FontManager.swift | merged
1d9398af1e34d73f948c93e7e634b9518a7c1303ee9d5a389b19e103fbd5ffa5,2,App/Utilities/LoggingExtensions.swift | music; App/Utilities/LoggingExtensions.swift | merged
c111ffc1554a5e4ba33dc62d0f4fcd9c657dd2d0c967fbd0d2b32b773d916987,2,App/Utilities/LoggingManager.swift | music; App/Utilities/LoggingManager.swift | merged
583800d8dd52c23f8c11e1bbb0a8f906a1d6678ac5110ff6c9006757793b63f6,2,App/Utilities/ColorTheme.swift | music; App/Utilities/ColorTheme.swift | merged
5b783c16ced8e797be0795ecf4e1d70cd12c828a072e7c1b6716d1b6013437ec,2,App/Utilities/AuthenticationHelper.swift | music; App/Utilities/AuthenticationHelper.swift | merged
390354f03c42815161855db9a7725190a761bc1401515321145f4788f6f6e9e5,2,App/Utilities/RestoreManager.swift | music; App/Utilities/RestoreManager.swift | merged
7c4c1c33f8d58add278aba02d47ebf50bd6d1a2b78e2e348e8b92362354b07ac,2,Resources/AuthenticationManager.swift | music; Resources/AuthenticationManager.swift | merged
57af4c2c258d8a43ed5531e01f13de48cd4dd5aa310b6b7b8958be7d9927c403,2,Models/Pin.swift | music; Models/Pin.swift | merged
2e3eaf09a381cb79160ec10fef7cae561788c825b83c9e4bbd0e297003f4cb27,2,Models/IncidentType.swift | music; Models/IncidentType.swift | merged
98cc9bac99210b503083e4e8e120909d38bf30376c6cfb2338fb48bd94cd46e5,2,Views/ResourcesView.swift | music; Views/ResourcesView.swift | merged
fceb699d4019d58f6ce9d83485b8b21b139f95cf0aada6d2eaabe77d5681540d,2,Views/IncidentFilterButtons.swift | music; Views/IncidentFilterButtons.swift | merged
73f23ff80393acf2f0f88295af870c18b01826b242eaf7f9792a0235bf5cb972,2,Views/MapView.swift | music; Views/MapView.swift | merged
a6a29e6e19315ca16958a4653edfc02251459eeb744944def759fcef21690b32,2,Views/AuthStateView.swift | music; Views/AuthStateView.swift | merged
369706dc45a9fe6f3e7be68e6fb795f3cbb2c2e9d27080228984f353501d02b6,2,Views/HelpView.swift | music; Views/HelpView.swift | merged
7deb8098e4c4ea19182ea508e6814147aa6e2f9ccefa29b0c1fbbcd6d2a42c66,2,Views/IncidentTypePicker.swift | music; Views/IncidentTypePicker.swift | merged
d59563320523a22930fb525eddd1fcabdcedcdeab827267eb9cf21477fe81eb9,2,Services/AuthState.swift | music; Services/AuthState.swift | merged
cdc1304ffeafe70addcea1edf4dd2dab2fb1f872b31160ffdbcc06dce3e3b7b0,2,Services/NetworkMonitor.swift | music; Services/NetworkMonitor.swift | merged
72260541d5b8b445ed0882a1ed41f6b8290d2079b473e6b5810498685b8bfd9f,2,Services/FirebaseManager.swift | music; Services/FirebaseManager.swift | merged
d81e4a01c44d7f4b3e4eba473185ec8685a02e23dbcb3c154eb6d8bd0dede3df,2,ViewModels/AuthViewModel.swift | merged; ViewModels/AuthViewModel.swift | recovered
b48b85f654d90a33db93467d29db19245ffd036ab85b75e1f9448c50ecd9f6c3,2,ViewModels/UserAuthViewModel.swift | merged; ViewModels/UserAuthViewModel.swift | recovered
fc08176eded658d86b46f91ef792c5c0558396e26b0b85ea20df2576bf419ef7,2,ViewModels/MapViewModel.swift | merged; ViewModels/MapViewModel.swift | recovered
5ee88fe6aebc036c5294d9a18621798f7d2deec3031522cefc76eaeee1eafa12,2,App/AppDelegate.swift | merged; App/AppDelegate.swift | recovered
c1070db8e2e8d45c249e8905b0e24f774fb6cf42d627ee81c7863e26eff9eabd,2,App/dontpullupApp.swift | merged; App/dontpullupApp.swift | recovered
b14e3da5309c88aac236304ab0fe8c0136fba4e4cf3392963ac9848f05f57761,2,Views/MainTabView.swift | merged; Views/MainTabView.swift | recovered
ddba9a3a1696b215439c41ac8268250364701ccb7fbb59094881f42bee78583f,2,Views/SettingsView.swift | merged; Views/SettingsView.swift | recovered
2a75e8cb00d3b8836714f7d1df9248280c5cc0d1331368d41f4e1ebfc9594dcf,2,Views/ProfileView.swift | merged; Views/ProfileView.swift | recovered
dd80b61aa8aa3bc5dd5a339862ef0e3e683e3fb7da8b9b6e2abbf1c803232535,2,Views/SplashScreen_raw.swift | merged; Views/SplashScreen_raw.swift | recovered
2d0ef8aafa0e999c2f95a38a6cde6d18844e0ca9ad15ae704c005fb1ed046641,2,Views/RootView.swift | merged; Views/RootView.swift | recovered
ef153afa73473ddaceac8f4429900da463954a6ba4d6e2cb2abbf4d7f945edb9,2,Views/SupportingViews.swift | merged; Views/SupportingViews.swift | recovered
803bc13e8a6c52c41bffadb2645bab5d186a080e78c1ab251712259f68d42952,2,Views/AuthView.swift | merged; Views/AuthView.swift | recovered
2d56519c10ca7d47ec918e68d2079fd56d07d0ab539c7957044f38f9895fa487,2,Views/SplashScreen.swift | merged; Views/SplashScreen.swift | recovered
461d07439f1fa21d50186fe9b1bb7f1009d92337c4bb983a4bc7434c639fda99,2,Views/ContentView.swift | merged; Views/ContentView.swift | recovered
b003b3404fc220a2666c24173b2831417f7b247a2e18821dfaed970d385cc9f5,2,Authentication/AuthenticationManager.swift | merged; Authentication/AuthenticationManager.swift | recovered
42aa059cdb8f68adf92f29da891d1d8d625530b151806cdfdc36b2041016c6a2,2,Authentication/AuthState.swift | merged; Authentication/AuthState.swift | recovered
863d681213af00c060e54348ddc395821292d6854d1d4b0b8f73ebeaba7d3406,2,Services/FontManager.swift | merged; Services/FontManager.swift | recovered
